sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_MWS_pred_LAM,true_MWS_pred_MWS
25,1,30.3453947368,19.6546052632,8.88157894737,41.1184210526
25,2,34.375,15.625,15.9539473684,34.0460526316
25,3,37.5822368421,12.4177631579,13.2401315789,36.7598684211
25,4,30.5098684211,19.4901315789,15.2138157895,34.7861842105
25,5,35.1151315789,14.8848684211,11.7598684211,38.2401315789
25,6,34.4572368421,15.5427631579,9.45723684211,40.5427631579
25,7,37.9111842105,12.0888157895,10.3618421053,39.6381578947
25,8,35.5263157895,14.4736842105,9.70394736842,40.2960526316
25,9,36.5131578947,13.4868421053,10.8552631579,39.1447368421
25,10,31.3322368421,18.6677631579,9.375,40.625
50,1,34.375,15.625,8.38815789474,41.6118421053
50,2,39.3092105263,10.6907894737,14.3092105263,35.6907894737
50,3,40.9539473684,9.04605263158,11.5131578947,38.4868421053
50,4,33.7171052632,16.2828947368,11.8421052632,38.1578947368
50,5,40.1315789474,9.86842105263,11.1842105263,38.8157894737
50,6,36.6776315789,13.3223684211,6.57894736842,43.4210526316
50,7,40.2960526316,9.70394736842,8.88157894737,41.1184210526
50,8,38.9802631579,11.0197368421,8.05921052632,41.9407894737
50,9,39.8026315789,10.1973684211,9.53947368421,40.4605263158
50,10,35.8552631579,14.1447368421,8.38815789474,41.6118421053
100,1,37.5,12.5,5.26315789474,44.7368421053
100,2,43.0921052632,6.90789473684,9.86842105263,40.1315789474
100,3,43.0921052632,6.90789473684,9.21052631579,40.7894736842
100,4,37.5,12.5,10.5263157895,39.4736842105
100,5,40.7894736842,9.21052631579,6.57894736842,43.4210526316
100,6,41.7763157895,8.22368421053,7.56578947368,42.4342105263
100,7,40.7894736842,9.21052631579,7.89473684211,42.1052631579
100,8,41.1184210526,8.88157894737,6.90789473684,43.0921052632
100,9,44.4078947368,5.59210526316,6.90789473684,43.0921052632
100,10,39.8026315789,10.1973684211,5.92105263158,44.0789473684
200,1,42.1052631579,7.89473684211,1.97368421053,48.0263157895
200,2,46.7105263158,3.28947368421,4.60526315789,45.3947368421
200,3,46.0526315789,3.94736842105,9.86842105263,40.1315789474
200,4,40.7894736842,9.21052631579,5.92105263158,44.0789473684
200,5,46.7105263158,3.28947368421,3.94736842105,46.0526315789
200,6,44.7368421053,5.26315789474,3.94736842105,46.0526315789
200,7,46.0526315789,3.94736842105,5.26315789474,44.7368421053
200,8,44.0789473684,5.92105263158,5.26315789474,44.7368421053
200,9,44.0789473684,5.92105263158,5.92105263158,44.0789473684
200,10,42.7631578947,7.23684210526,5.26315789474,44.7368421053
400,1,43.4210526316,6.57894736842,1.31578947368,48.6842105263
400,2,50.0,0.0,5.26315789474,44.7368421053
400,3,46.0526315789,3.94736842105,0.0,50.0
400,4,43.4210526316,6.57894736842,5.26315789474,44.7368421053
400,5,50.0,0.0,1.31578947368,48.6842105263
400,6,48.6842105263,1.31578947368,1.31578947368,48.6842105263
400,7,50.0,0.0,2.63157894737,47.3684210526
400,8,48.6842105263,1.31578947368,3.94736842105,46.0526315789
400,9,48.6842105263,1.31578947368,2.63157894737,47.3684210526
400,10,46.0526315789,3.94736842105,0.0,50.0
