sample_size,group,%_LAM,%_MWS
25,1,43.4027777778,56.5972222222
25,2,28.125,71.875
25,3,32.2916666667,67.7083333333
25,4,35.7638888889,64.2361111111
25,5,17.3611111111,82.6388888889
25,6,23.9583333333,76.0416666667
25,7,26.0416666667,73.9583333333
25,8,25.0,75.0
25,9,26.3888888889,73.6111111111
25,10,36.8055555556,63.1944444444
50,1,31.25,68.75
50,2,27.7777777778,72.2222222222
50,3,28.4722222222,71.5277777778
50,4,31.9444444444,68.0555555556
50,5,15.2777777778,84.7222222222
50,6,20.1388888889,79.8611111111
50,7,21.5277777778,78.4722222222
50,8,20.8333333333,79.1666666667
50,9,21.5277777778,78.4722222222
50,10,32.6388888889,67.3611111111
100,1,26.3888888889,73.6111111111
100,2,29.1666666667,70.8333333333
100,3,20.8333333333,79.1666666667
100,4,29.1666666667,70.8333333333
100,5,16.6666666667,83.3333333333
100,6,19.4444444444,80.5555555556
100,7,19.4444444444,80.5555555556
100,8,12.5,87.5
100,9,18.0555555556,81.9444444444
100,10,19.4444444444,80.5555555556
200,1,38.8888888889,61.1111111111
200,2,33.3333333333,66.6666666667
200,3,27.7777777778,72.2222222222
200,4,33.3333333333,66.6666666667
200,5,16.6666666667,83.3333333333
200,6,19.4444444444,80.5555555556
200,7,13.8888888889,86.1111111111
200,8,11.1111111111,88.8888888889
200,9,16.6666666667,83.3333333333
200,10,22.2222222222,77.7777777778
400,1,22.2222222222,77.7777777778
400,2,22.2222222222,77.7777777778
400,3,27.7777777778,72.2222222222
400,4,27.7777777778,72.2222222222
400,5,0.0,100.0
400,6,22.2222222222,77.7777777778
400,7,11.1111111111,88.8888888889
400,8,5.55555555556,94.4444444444
400,9,16.6666666667,83.3333333333
400,10,11.1111111111,88.8888888889
