sample_size,shift_percentage,%_LAM,%_MWS,%_PBS
200,1,29.2479108635,70.4735376045,0.278551532033
200,2,30.0835654596,69.6378830084,0.278551532033
200,3,28.9693593315,71.0306406685,0.0
200,4,26.7409470752,73.2590529248,0.0
200,5,27.0194986072,72.9805013928,0.0
200,6,26.4623955432,73.5376044568,0.0
200,7,27.8551532033,72.1448467967,0.0
200,8,29.2479108635,70.4735376045,0.278551532033
200,9,28.9693593315,71.0306406685,0.0
400,0,28.3333333333,71.6666666667,0.0
400,1,29.6089385475,70.3910614525,0.0
400,2,30.1675977654,69.8324022346,0.0
400,3,29.0502793296,70.9497206704,0.0
400,4,29.0502793296,70.9497206704,0.0
400,5,27.9329608939,72.0670391061,0.0
400,6,27.374301676,72.625698324,0.0
400,7,26.2569832402,73.7430167598,0.0
400,8,26.2569832402,73.7430167598,0.0
400,9,26.8156424581,73.1843575419,0.0
800,0,23.3333333333,76.6666666667,0.0
800,1,24.7191011236,75.2808988764,0.0
800,2,26.9662921348,73.0337078652,0.0
800,3,24.7191011236,75.2808988764,0.0
800,4,24.7191011236,75.2808988764,0.0
800,5,23.595505618,76.404494382,0.0
800,6,21.3483146067,78.6516853933,0.0
800,7,21.3483146067,78.6516853933,0.0
800,8,22.4719101124,77.5280898876,0.0
800,9,22.4719101124,77.5280898876,0.0
1600,0,13.3333333333,86.6666666667,0.0
1600,1,13.6363636364,86.3636363636,0.0
1600,2,11.3636363636,88.6363636364,0.0
1600,3,13.6363636364,86.3636363636,0.0
1600,4,18.1818181818,81.8181818182,0.0
1600,5,18.1818181818,81.8181818182,0.0
1600,6,18.1818181818,81.8181818182,0.0
1600,7,18.1818181818,81.8181818182,0.0
1600,8,20.4545454545,79.5454545455,0.0
1600,9,20.4545454545,79.5454545455,0.0
